iter	Passed	Remaining
0	0	98
1	1	64
2	1	52
3	1	45
4	2	42
5	2	40
6	3	41
7	3	39
8	3	37
9	4	37
10	4	36
11	4	35
12	5	34
13	5	34
14	5	33
15	6	32
16	6	32
17	6	31
18	7	31
19	7	30
20	7	29
21	8	29
22	8	29
23	9	28
24	9	28
25	9	27
26	10	27
27	10	26
28	10	26
29	11	25
30	11	25
31	11	24
32	12	24
33	12	24
34	12	23
35	13	23
36	13	23
37	14	22
38	14	22
39	14	22
40	15	21
41	15	21
42	15	20
43	16	20
44	16	20
45	17	20
46	17	20
47	18	19
48	18	19
49	19	19
50	19	18
51	19	18
52	20	18
53	20	17
54	21	17
55	21	16
56	22	16
57	22	16
58	23	15
59	23	15
60	23	15
61	23	14
62	24	14
63	24	13
64	25	13
65	25	13
66	25	12
67	26	12
68	26	11
69	26	11
70	27	11
71	27	10
72	28	10
73	28	10
74	28	9
75	29	9
76	29	8
77	30	8
78	30	8
79	30	7
80	31	7
81	31	6
82	32	6
83	32	6
84	33	5
85	33	5
86	33	5
87	34	4
88	34	4
89	35	3
90	35	3
91	35	3
92	36	2
93	36	2
94	37	1
95	37	1
96	37	1
97	38	0
98	38	0
99	38	0
